IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
20.81.104.97,80,FALSE,IAD,North America,Ashburn,277 ms,2868 kB/s
40.66.63.160,80,FALSE,CDG,Europe,Paris,289 ms,727 kB/s
20.119.73.200,80,FALSE,IAD,North America,Ashburn,283 ms,692 kB/s
47.76.33.40,2082,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,9692 kB/s
8.217.251.62,8080,FALSE,HKG,Asia Pacific,Hong Kong,68 ms,8567 kB/s
47.76.33.40,2086,FALSE,HKG,Asia Pacific,Hong Kong,62 ms,8554 kB/s
8.217.251.62,2086,FALSE,HKG,Asia Pacific,Hong Kong,67 ms,8503 kB/s
47.236.170.225,8080,FALSE,SIN,Asia Pacific,Singapore,224 ms,8425 kB/s
47.237.94.140,2052,FALSE,SIN,Asia Pacific,Singapore,232 ms,8042 kB/s
47.236.146.249,80,FALSE,SIN,Asia Pacific,Singapore,219 ms,8027 kB/s
47.236.146.249,2082,FALSE,SIN,Asia Pacific,Singapore,262 ms,7714 kB/s
47.236.202.91,80,FALSE,SIN,Asia Pacific,Singapore,257 ms,7658 kB/s
47.236.123.133,2086,FALSE,SIN,Asia Pacific,Singapore,231 ms,7629 kB/s
47.236.17.193,2086,FALSE,SIN,Asia Pacific,Singapore,240 ms,7602 kB/s
47.237.11.182,2082,FALSE,SIN,Asia Pacific,Singapore,216 ms,7597 kB/s
47.236.180.51,2082,FALSE,SIN,Asia Pacific,Singapore,224 ms,7459 kB/s
47.236.169.15,8880,FALSE,SIN,Asia Pacific,Singapore,226 ms,7373 kB/s
47.236.170.225,2086,FALSE,SIN,Asia Pacific,Singapore,216 ms,7342 kB/s
8.217.251.62,2095,FALSE,HKG,Asia Pacific,Hong Kong,65 ms,7329 kB/s
47.236.169.15,8080,FALSE,SIN,Asia Pacific,Singapore,250 ms,7244 kB/s
47.236.169.15,2082,FALSE,SIN,Asia Pacific,Singapore,229 ms,7209 kB/s
47.236.150.13,2095,FALSE,SIN,Asia Pacific,Singapore,244 ms,7155 kB/s
47.236.150.13,2052,FALSE,SIN,Asia Pacific,Singapore,240 ms,7128 kB/s
47.236.169.141,2082,FALSE,SIN,Asia Pacific,Singapore,240 ms,7049 kB/s
47.236.146.249,2052,FALSE,SIN,Asia Pacific,Singapore,226 ms,6956 kB/s
47.236.166.131,2086,FALSE,SIN,Asia Pacific,Singapore,230 ms,6941 kB/s
47.237.81.112,8080,FALSE,SIN,Asia Pacific,Singapore,240 ms,6940 kB/s
47.236.169.164,2086,FALSE,SIN,Asia Pacific,Singapore,228 ms,6926 kB/s
47.236.144.208,80,FALSE,SIN,Asia Pacific,Singapore,233 ms,6912 kB/s
47.236.170.54,8880,FALSE,SIN,Asia Pacific,Singapore,226 ms,6902 kB/s
47.236.169.164,2052,FALSE,SIN,Asia Pacific,Singapore,230 ms,6892 kB/s
47.236.75.113,2052,FALSE,SIN,Asia Pacific,Singapore,239 ms,6891 kB/s
47.236.166.131,2082,FALSE,SIN,Asia Pacific,Singapore,263 ms,6870 kB/s
47.236.144.48,2086,FALSE,SIN,Asia Pacific,Singapore,229 ms,6868 kB/s
47.236.146.249,8880,FALSE,SIN,Asia Pacific,Singapore,256 ms,6858 kB/s
47.236.168.17,2082,FALSE,SIN,Asia Pacific,Singapore,220 ms,6831 kB/s
47.236.172.95,8880,FALSE,SIN,Asia Pacific,Singapore,242 ms,6821 kB/s
47.236.150.13,8080,FALSE,SIN,Asia Pacific,Singapore,247 ms,6789 kB/s
47.236.149.107,2086,FALSE,SIN,Asia Pacific,Singapore,243 ms,6785 kB/s
47.236.169.164,80,FALSE,SIN,Asia Pacific,Singapore,226 ms,6766 kB/s
47.236.144.156,2086,FALSE,SIN,Asia Pacific,Singapore,243 ms,6747 kB/s
47.237.8.82,2086,FALSE,SIN,Asia Pacific,Singapore,239 ms,6739 kB/s
47.236.171.205,80,FALSE,SIN,Asia Pacific,Singapore,228 ms,6725 kB/s
8.217.251.62,2082,FALSE,HKG,Asia Pacific,Hong Kong,65 ms,6713 kB/s
47.236.83.239,8080,FALSE,SIN,Asia Pacific,Singapore,225 ms,6663 kB/s
47.236.169.164,8880,FALSE,SIN,Asia Pacific,Singapore,248 ms,6609 kB/s
47.236.174.206,8080,FALSE,SIN,Asia Pacific,Singapore,244 ms,6600 kB/s
47.236.165.25,2086,FALSE,SIN,Asia Pacific,Singapore,262 ms,6587 kB/s
